# PropHunt becomable-prop curation. key=1 keep, key=0 skip. Edit in-game with the phcurate console command.
# key = meshName|vertexCount|wFxhFxdF (content signature; LOD props use the lex-min key across LODs).
SM_House_04_LOD2|6026|11.1x6.8x11.9=0
SM_House_04_LOD3|3393|11.1x6.8x11.9=0
SM_House_04_LOD4|827|11.1x6.9x11.9=0
SM_House_05_ConvexHulls|2686|12.2x6.8x17.5=0
SM_House_05_LOD0|16485|12.2x6.8x17.5=0
SM_House_09_ConvexHulls|2958|12.3x6.8x17.5=0
SM_House_09_LOD0|23440|12.3x6.8x17.5=0
SM_House_09_LOD1|15759|12.3x6.8x17.5=0
SM_House_09_LOD2|9678|12.3x6.8x17.5=0
SM_House_09_LOD3|5396|12.3x6.9x17.5=0
SM_House_10_LOD0|23707|10.7x6.8x13.3=0
SM_House_10_LOD1|15807|10.7x6.8x13.3=0
SM_House_10_LOD2|10152|10.7x6.8x13.3=0
SM_House_10_LOD3|6425|10.7x6.8x13.3=0
SM_House_14_ConvexHulls|6203|12.4x9.9x11.6=0
SM_House_14_LOD0|71681|12.2x9.8x11.9=0
SM_House_14_LOD1|47684|12.2x9.8x11.9=0
SM_House_14_LOD2|30862|12.2x9.8x11.9=0
SM_House_14_LOD3|18825|12.2x9.8x11.9=0
SM_House_17_ConvexHulls|5814|19.3x8.1x13.2=0
SM_House_17_LOD0|39921|19.2x8.0x13.3=0
SM_House_17_LOD1|26326|19.2x8.0x13.3=0
SM_House_17_LOD2|16322|19.2x8.0x13.4=0
SM_House_17_LOD3|10824|19.2x8.0x13.4=0
SM_Item_Radio_01|365|0.4x0.4x0.1=1
SM_Prop_SmokePipe_01|209|0.3x0.1x0.1=1
SM_Prop_Syringe_02|205|0.1x0.0x0.4=1
SM_Prop_Syringe_Plunger_02|67|0.1x0.0x0.2=1
SM_Prop_Vase_02|246|0.2x0.6x0.3=1
SM_mobile_toilet|1306|1.6x2.6x1.6=1
SM_sign_02|48|0.8x2.0x0.0=1
Scrap|279|0.2x0.2x0.0=1
ShopBase|26|10.7x14.3x0.2=0
Shrub_LOD0|880|1.7x1.0x1.6=1
Shrub_LOD1|470|1.6x0.9x1.5=1
SideWall|396|28.0x0.5x5.4=0
Sidewalk.001|99|2.0x2.0x0.1=0
Sidewalk.002|99|2.0x2.0x0.1=0
Sidewalk.003|99|2.0x2.0x0.1=0
Sidewalk.004|99|2.0x2.0x0.1=0
SmallWindow|160|0.8x0.0x0.5=0
Sphere|89|2.0x2.0x1.0=1
Spike.001|24|2.9x2.4x7.0=0
Spike.002|24|3.7x2.7x6.9=0
Spike.003|24|4.6x1.9x6.8=0
Spike.004|36|3.3x3.1x6.8=0
Spike.005|36|4.4x3.2x5.6=0
Spike|12|2.6x1.3x6.8=0
SteeringColumn|36|0.2x0.2x0.8=0
Steps|88|1.0x0.7x0.6=0
StylizedWater2_Ocean|30036|10000.0x0.0x10000.0=0
Support.001|28|0.3x0.2x0.1=0
Support.002|16|0.0x1.0x0.0=0
Support.003|16|0.0x1.0x0.0=0
Support|18|2.0x2.0x2.0=0
Support|28|0.3x0.2x0.1=0
Title_LOD0|960|5.2x0.5x0.0=0
Title_LOD1|143|5.2x0.5x0.0=0
Title_LOD2|141|5.2x0.5x0.0=0
TowThing|146|2.2x12.7x2.0=0
Trim.001|428|5.5x0.1x2.5=0
Trim|1386|12.0x3.3x3.5=0
Trim|428|5.5x0.1x2.5=0
Vent|136|0.3x0.0x0.2=0
Walls|840|18.0x9.0x2.7=0
Wall|28|0.4x0.4x1.0=0
Wall|52|1.8x0.1x2.4=0
Wall|8|0.0x2.0x2.6=0
WarehouseModular (10)|5904|25.7x3.2x12.1=0
WarehouseModular|3477|10.1x3.2x8.9=0
Water.001|28|6.5x6.5x0.0=0
Water.004|10|2.0x4.3x0.0=0
Water_Pipe_Long|117|1.0x0.1x0.1=0
Water_Pipe_right|153|0.6x0.6x0.1=0
Water|26|65.5x2.0x1.8=0
West park path 1 LOD1 (202513122840889)|288|3.6x2.4x3.2=1
Wheel|448|0.7x0.3x0.7=1
Wheel|822|1.1x0.4x1.1=1
Window.L|176|0.9x0.0x1.0=0
curtainsopened2|40|2.4x2.0x0.1=1
curtainsopened2|48|1.4x2.0x0.1=1
default|961|1.0x0.0x1.0=0
litter_02|30|0.4x0.4x0.1=1
